"고시년도","회차","개최일자","안건일련번호","소관부서","안건제목","심의결과","개요"
"2004","1","2004-01-16 00:00:00.0","8","시설계획과","도시계획시설(시장)변경(폐지)결정
 ","보  류","  서초구 방배동 923-6 일대
  - 면    적 : 3,300.6㎡
  - 변경내용 : 시장폐지
 "
"2004","1","2004-01-16 00:00:00.0","9","시설계획과","도시계획시설(공원)변경결정
 ","원안가결","  은평구 갈현동 436-14 일대
  - 면    적 : 1,723㎡   1,739㎡(증16㎡)
 "
"2004","1","2004-01-16 00:00:00.0","10","시설계획과","도시계획시설(공원)변경결정
 ","원안가결","  강동구 길동 산6번지 일대
  - 면   적 : 588,395㎡   727,032㎡
               (증 138,637㎡)
 "
"2004","1","2004-01-16 00:00:00.0","11","재래시장대책반","시장 재건축사업에 따른 층수완화
 ","원안가결","  양천구 신정동 201-1 일대
  - 제2종 일반주거지역에서 재래시장의 층수완화
     (12층 이하   15층 이하)
 "
"2004","1","2004-01-16 00:00:00.0","12","주택기획과","상신아파트 재건축사업을 위한
 정비구역지정 심의(안)
 ","보  류","  동작구 사당동 1000-8 일대
  - 면 적 : 21,026.4㎡
 "
"2004","1","2004-01-16 00:00:00.0","13","주거정비과","세운상가(제1∼제9지구)구역변경지정 및 세운상가4구역 지정
 ","원안가결","  종로구 예지동 85 일대
  - 면 적 : 33,190.1㎡
 "
"2004","1","2004-01-16 00:00:00.0","14","주거정비과","세운상가구역(제32지구)변경지정
 ","원안가결","  중구 충무로4가 79 일대
  - 면 적 : 6,783.3㎡
 "
"2004","1","2004-01-16 00:00:00.0","15","주거정비과","공덕제3주택재개발구역변경지정
 ","원안가결","  마포구 공덕동 188-1,아현동 649-1 일대
  - 면 적 : 32,014.4㎡
 "
"2004","1","2004-01-16 00:00:00.0","16","주거정비과","도시·주거환경정비기본계획변경
 ","수정가결","  길음뉴타운내 4개 구역
  - (가칭) 길음7구역, 길음8구역, 정릉9구역,
    역세권구역
  - 면 적 : 217,000㎡
 "
"2004","5","2004-03-24 00:00:00.0","1","도시관리과","송파구 문정동 제1종
 지구단위 계획구역 결정
 ","부결","○ 송파구 문정동 38-3 일대
     (철도부지)
      - 면  적 : 9,241㎡
 "
"2004","5","2004-03-24 00:00:00.0","3","시설계획과","도시계획시설(유수지, 
 도로) 결정 및 변경결정
 ","원안가결","○ 구로구 구로동 1-4 일대
   - 유수지 : 23,800㎡→
                   20,202㎡(감 3,598㎡)
   - 도로신설 : 폭15m, 연장 143m
 "
"2004","5","2004-03-24 00:00:00.0","4","시설계획과","도시계획시설(종합의료
 시설, 공원) 및 용도지역 
 변경결정
 ","원안가결","〈종합의료시설 및 공원 변경결정〉
 ○ 위 치 : 동작구 신대방동 395 일대
   - 종합의료시설 변경 : 17,336㎡→24,523㎡
                         (증 7,187㎡)
   - 공원 변경 : 422,328㎡→415,141㎡
                 (감 7,187㎡)
 ○ 송파구 문정동 2-5외 1필지
   - 공원신설 : 37,031㎡(대체공원)
 〈용도지역 변경 결정〉
 ○ 위 치 : 동작구 신대방동 395 일대(면적 : 7,187㎡)
     제1종 일반주거지역(4층 이하)
       → 제2종 일반주거지역(12층 이하)
 "
"2004","5","2004-03-24 00:00:00.0","5","시설계획과","도시계획시설(종합의료
 시설) 결정
 ","보류","○ 용산구 한남동 657-58 일대(면적 : 15,195㎡)
   - 도로(B=6m, L=368m, 면적 2,203㎡)중복 결정
 "
"2004","5","2004-03-24 00:00:00.0","6","시설계획과","도시계획시설(공공청사,학교)결정 및 변경결정
 ","원안가결","〈공공청사 결정〉
 ○ 금천구 시흥동 113-79 일대(면적 : 17,200㎡)
 〈공공청사 폐지〉
 ○ 금천구 독산동 441-6 일대(면적 : 15,611㎡)
 〈학교폐지〉
 ○ 금천구 시흥동 113-79 일대(면적 : 16,564㎡)
 "
"2004","5","2004-03-24 00:00:00.0","7","시설계획과","도시계획시설(공공청사)
 결정 및 용도지역 
 변경결정
 ","보류","○ 성북구 삼선동5가 411번지 일대
   - 공공청사 결정(면적 : 10,482.3㎡)
   - 용도지역 변경결정(면적 : 8,865.1㎡)
      &#65381; 제3종일반주거지역 → 준주거지역
 "
"2004","5","2004-03-24 00:00:00.0","8","시설계획과","도시계획시설(공원·수도) 
 결정 및 변경결정
 ","수정가결","○ 성동구 성수1가동 685번지일대
   - 공원시설 : 232,556㎡
   - 수도시설 : 173,727㎡ → 147,010㎡
                  (감:26,717㎡)
 "
"2004","5","2004-03-24 00:00:00.0","15","주거정비과","도시·주거환경정비
 기본계획 수립
 ","차기회의","○ 서울시 노후·불량주택지역에 대한
   - 주거환경개선사업 및 주택재개발
     사업부문 기본계획
 "
"2004","5","2004-03-24 00:00:00.0","10","재래시장대책반","시장재건축사업에 따른 층수 완화
 ","원안가결","○ 서초구 방배동 923-6 일대
   - 면  적 : 3,300.6㎡
 "
"2004","5","2004-03-24 00:00:00.0","11","주택기획과","상신아파트 재건축사업을 
 위한 정비구역 지정
 ","수정가결","○ 동작구 사당동 1000-8 일대
   - 면  적 : 21,026.4㎡
 "
"2004","5","2004-03-24 00:00:00.0","12","주택기획과","장안시영2단지 2차 아파트
 재건축 정비구역지정
 ","수정가결","○ 동대문구 장안동 329-2번지 일대
   - 면  적 : 38,026㎡
 "
"2004","5","2004-03-24 00:00:00.0","13","주거정비과","상도4주택재개발구역변경 지정
 ","수권","○ 동작구 상도동 산 47번지 일대
   - 면  적 : 153,007.5㎡ → 154,114.5㎡
             (증1,107㎡)
   - 구역 지정시 부여된 조건 이행을 위한
     구역경계조정 및 공공시설 설치계획 변경
 "
"2004","5","2004-03-24 00:00:00.0","14","주거정비과","전농3-2주택재개발구역변경 지정
 ","원안가결","○ 동대문구 답십리4동 1번지 일대
   - 면  적 : 26,058㎡→26,398㎡
              (증 340㎡)
   - 구역면적 및 토지이용계획,
     건축배치계획의 변경 등
 "
"2009","22","2009-12-16 00:00:00.0","1","도심재정비1담당관","마포로4구역 및 마포로4구역 제9지구 도시환경정비구역 변경 지정","원안가결","○ 위 치 : 서대문구 미근동 8-1번지 일대
 ○ 면 적 : 2,929.8㎡ 
 ○ 내 용 : 구역 확장으로 인한 정비구역 변경 지정"
"2009","22","2009-12-16 00:00:00.0","5","시설계획과","도시계획시설(학교) 건축물 높이제한 완화","원안가결","○ 위치 : 서대문구 대현동 11-1 일대(이화여대)
 ○ 높이 : 기숙사(7층→10층), 과학관(3층→4/5층)
 ○ 내용 : 국제기숙사 등 신축위한 높이제한 완화"
"2009","22","2009-12-16 00:00:00.0","8","시설계획과","도시계획시설(학교) 변경결정","수정가결","○ 위치 : 노원구 월계동 648-7 외 3개소
 ○ 대상 : 인덕공고 외 3개교
 ○ 내용 : 건축물 범위 결정을 위한 도시계획시설 결정"
"2009","22","2009-12-16 00:00:00.0","10","주택공급과","논현경복아파트 주택재건축 정비계획 및 정비구역 지정","수정가결","○ 위 치 : 강남구 논현동 276번지 일대
 ○ 면 적 : 15,423.9㎡
 ○ 내 용 : 재건축 정비계획 수립 및 정비구역 지정"
"2009","22","2009-12-16 00:00:00.0","4","주거정비과","신수2구역 주택재건축 정비계획 및 정비구역 지정","보류","○ 위 치 : 마포구 신수동 255-7번지 일대
 ○ 면 적 : 17,264㎡
 ○ 내 용 : 단독 재건축 정비구역 지정"
"2002","5","2002-05-22 00:00:00.0","1","시설계획과","도시계획시설(공원) 변경결정
 ","원안가결"," 구로구 고척동 산9-14번지 일대(고척공원) 
  - 규 모 : 88,000㎡ → 107,124㎡
 "
"2002","5","2002-05-22 00:00:00.0","2","시설계획과","도시계획시설(공원) 변경결정
 ","보  류"," 영등포구 신길동 895번지 일대
   (메낙골공원) 
  - 규 모 : 51,470㎡ → 51,470㎡ 
               (위치변경)
 "
"2002","5","2002-05-22 00:00:00.0","3","시설계획과","도시계획시설(광장) 및
 도시계획사업(시가지 조성사업)
 변경결정
 ","부  결"," 강서구 공항동 36번지 일대
  - 광 장 : 36,000㎡ → 17,500㎡
  - 시가지조성사업 : 3,928,807㎡ → 3,915,047㎡
 "
"2002","5","2002-05-22 00:00:00.0","4","시설계획과","자연경관지구 안의 건축물
 (학교) 높이제한 완화 
 ","조건부가결"," 동대문구 회기동 1-5번지 일대
   (경희대학교)
  - 중·고교 교사 1동(5층, 20m)
 "
"2002","5","2002-05-22 00:00:00.0","5","시설계획과","자연경관지구 안의 건축물 
 (학교) 높이제한 완화 
 ","원안가결"," 서대문구 대현동 11-1번지 일대
   (이화여자대학교)  
  - 종합과학관 등 4동(4∼7층, 
     14.95∼28m)
 "
"2002","5","2002-05-22 00:00:00.0","6","시설계획과","도시계획시설(학교) 용적률 완화
 ","원안가결"," 강서구 방화동 648-1번지(방화
  초교·공항고교) 
  - 용적률 완화 : 50% 이하 → 
                         60% 이하
 "
"2002","5","2002-05-22 00:00:00.0","7","시설계획과","도시계획시설(학교) 변경결정
 ","원안가결"," 강서구 오곡동 산88-2번지
  (오곡초교)
  - 면 적 : 6,827㎡ → 0㎡       
 "
"2002","5","2002-05-22 00:00:00.0","8","시설계획과","도시계획시설(철도) 결정
 ","보  류"," 지하철9호선 여의도구간
  - 본  선 : 영등포구 당산동 1-1번
                 지∼ 여의도동 2-6번지
         (연장 2,087m, 폭 20∼28m)
  - 정거장 : 영등포구 여의도동 1- 
                 1번지 (규모 10,226㎡)
 "
"2002","5","2002-05-22 00:00:00.0","9","재개발과","서울역∼서대문2구역 제2-1지구 도심재개발구역 변경결정
 ","보  류"," 중구 의주로1가 21-1번지 일대
  - 면 적 : 3,129㎡
 "
"2002","5","2002-05-22 00:00:00.0","10","재개발과","마포로 제1구역 제46지구
 도심재개발구역 변경결정
 ","보  류"," 마포구 신공덕동 55-1번지 일대
  - 면 적 : 3,753.1㎡
 "
"2002","5","2002-05-22 00:00:00.0","11","재개발과","숭인 제3주택재개발구역
 변경지정
 ","원안가결"," 종로구 숭인동 206, 1429번지 일대
  - 면 적 : 24,087㎡ → 19,276.7㎡
 "
"2002","5","2002-05-22 00:00:00.0","12","도시관리과","신설 지구단위계획구역내 
 도시계획시설(공공청사) 변경결정
 ","속개회의"," 동대문구 신설동 97-8외 1필지
  - 면 적 : 4,195㎡ → 0㎡
 "
"2002","5","2002-05-22 00:00:00.0","13","도시계획과","이태원로 주변 지구단위계획구역내 용도지역·지구 변경결정 및 결정
 ","속개회의"," 용산구 이태원동 119-25번지 
  일대,  한남동 737-29번지 일대  
   등
  - 용도지역 변경결정 : 259,262㎡
  - 용도지구 결정 : 145,510㎡
 "
"2002","5","2002-05-22 00:00:00.0","14","도시계획과","도시계획용도지구(미관지구)
 변경 결정
 ","속개회의"," 서대문구 의주로·통일로 외 5개  
  노선
   -역사문화미관지구 → 일반미관
     지구
 "
"2002","5","2002-05-22 00:00:00.0","15","도시계획과","자연경관지구내 건축규제 완화구역 지정
 ","속개회의"," 종로구 행촌동 1-114번지 일대
  - 건폐율 : 30% → 40% 이하
  - 높  이 : 3층(12m) → 4층(15m) 
                이하
 "
"2003","5","2003-05-28 00:00:00.0","4","도시계획과","자연경관지구안의 건축물(학교) 
 높이제한 완화
 ","원안가결"," 종로구 행촌동 171-1 
  (대신중·고교)
  -3층(12m)이하→5층(21.2m)이하
 "
"2003","5","2003-05-28 00:00:00.0","2","도시계획과","개발행위허가제한지역 지정
 ","원안가결"," 노원구·구로구·강동구 일대
  - 면 적 : 1,789,102㎡
 "
"2003","5","2003-05-28 00:00:00.0","3","도시계획과","도시관리계획(미관지구) 결정 및 변경결정
 ","원안가결"," 강서구 양천길 일대
  - 면 적 : 108,000㎡
  강동구 고동동길, 선사로 일대
  - 면 적 : 76,800㎡
 "
"2003","5","2003-05-28 00:00:00.0","5","시설계획과","자연경관지구내 건축물(학교) 
 높이제한 완화
 ","원안가결","성동구 행당동 17일대
 (한양대학교)
  - 면적 : 514,767㎡
  - 3층(12m이하)→ 7층(28m이하)
    ※건축물 16개동 신·증축
 "
"2003","5","2003-05-28 00:00:00.0","6","시설계획과","자연경관지구내 건축물(학교)
 높이제한 완화
 ","원안가결"," 동대문구 회기동 1-5일대
  경희대학교)
  - 면 적 : 410,230㎡
  - 3층(12m)이하→7층(28m)이하
    ※ 건축물 3개동 신·증축
 "
"2003","5","2003-05-28 00:00:00.0","7","시설계획과","도시계획시설(자동차정류장) 
 변경결정
 ","원안가결"," 금천구 가산동 38-1일대(자동차정류장 폐지)
  - 면 적 : 1,626㎡
 "
"2003","5","2003-05-28 00:00:00.0","8","시설계획과","도시계획시설(학교)변경 및 
 자연경관지구내 건축물 높이
 제한 완화
 ","원안가결"," 성북구 돈암동 83-145일대
  - 면 적 : 7,698㎡
  - 초등학교 → 중학교
     (학교등급 변경)
  - 3층(12m)이하→5층(20m)이하
 "
"2003","5","2003-05-28 00:00:00.0","9","시설계획과","도시계획시설(공원) 결정
 ","원안가결"," 광진구 자양동 792-1
  (어린이공원 신설)
  - 면 적 : 494.8㎡
 "
"2003","5","2003-05-28 00:00:00.0","10","주거정비과","고척제2주택재개발구역 
 변경지정
 ","수정가결"," 구로구 고척동 1번지 일대
  - 면 적 : 55,508㎡
 "
"2003","5","2003-05-28 00:00:00.0","11","주거정비과","홍은제10주택재개발구역 지정
 ","원안가결"," 서대문구 홍은동 177번지 일대
  - 면 적 : 15,299㎡
 "
"2003","5","2003-05-28 00:00:00.0","15","주거정비과","흑석제5주택재개발구역 지정
 ","보  류"," 동작구 흑석동 45-1 일대
  - 면 적 : 40,238㎡
 "
